what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354627076399
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354627077732
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354627078855
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354627080477
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1354627096662
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1354627101468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627121515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627121723
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1354627126690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627130613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627130813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627153395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627164621
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1354627225282
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1354627245416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627273021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627280761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627305175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627305358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627314784
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627322204
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354627330277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1354627332349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627335217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627356418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354627358566
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1354627373101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627378287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627378508
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1354627383255
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1354627386594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627389732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627389921
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1354627393188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627397801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627398018
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1354627400525
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1354627415934
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1354627416263
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1354627416567
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1354627420097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627422807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627422992
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1354627425700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627427247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627427436
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1354627429758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627431570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354627433061
